gemma26_nvfp4_---_p8000.log	GPU KV cache size: 161,975 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_---_p8001.log	GPU KV cache size: 161,975 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_---_p8002.log	GPU KV cache size: 161,975 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_---_p8003.log	GPU KV cache size: 161,975 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_---_p8004.log	GPU KV cache size: 161,975 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_---_p8005.log	GPU KV cache size: 161,975 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_---_p8006.log	GPU KV cache size: 161,975 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_---_p8007.log	GPU KV cache size: 161,975 tokens|Using 'FLASHINFER_CUTLASS' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_--marlin_p8000.log	GPU KV cache size: 162,624 tokens|Using 'MARLIN' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
gemma26_nvfp4_--marlin_p8001.log	GPU KV cache size: 162,624 tokens|Using 'MARLIN' NvFp4 MoE backend|Using FlashInferCuteDslNvFp4W4A16LinearKernel for NVFP4 GEMM
